1713270665957 - sink, rti_index: 9
1713270665957 - react, rti_index: 1
1713270665957 - supply_from_location, rti_index: 1
1713270665957 - lookup, rti_index: 0
1713270665957 - supply_from_location, rti_index: 1
1713270665957 - supply_from_location, rti_index: 2
1713270665957 - react, rti_index: 3
1713270665957 - consume, rti_index: 4
1713270665957 - supply_from_location, rti_index: 1
1713270665957 - supply_constant, rti_index: 2
1713270665958 - react, rti_index: 7
1713270665958 - consume, rti_index: 8
1713270665958 - sink, rti_index: 9
1713270665958 - react, rti_index: 3
1713270665958 - consume, rti_index: 4
1713270665958 - supply_from_location, rti_index: 1
1713270665958 - consume, rti_index: 6
1713270665958 - supply_from_location, rti_index: 2
1713270665958 - react, rti_index: 8
1713270665958 - consume, rti_index: 9
1713270665958 - sink, rti_index: 10
1713270665959 - supply_from_location, rti_index: 1
1713270665959 - lookup, rti_index: 0
1713270665959 - supply_from_location, rti_index: 1
1713270665959 - supply_from_location, rti_index: 2
1713270665959 - react, rti_index: 3
1713270665959 - consume, rti_index: 4
1713270665959 - supply_from_location, rti_index: 1
1713270665959 - supply_constant, rti_index: 2
1713270665959 - react, rti_index: 7
1713270665959 - consume, rti_index: 8
1713270665959 - sink, rti_index: 9
1713270665959 - react, rti_index: 1
1713270665960 - supply_from_location, rti_index: 1
1713270665960 - lookup, rti_index: 0
1713270665960 - supply_from_location, rti_index: 1
1713270665960 - supply_from_location, rti_index: 2
1713270665960 - react, rti_index: 3
1713270665960 - consume, rti_index: 4
1713270665960 - supply_from_location, rti_index: 1
1713270665960 - supply_constant, rti_index: 2
1713270665960 - react, rti_index: 7
1713270665960 - consume, rti_index: 8
1713270665960 - sink, rti_index: 9
1713270665960 - react, rti_index: 3
1713270665961 - consume, rti_index: 4
1713270665961 - supply_from_location, rti_index: 1
1713270665961 - consume, rti_index: 6
1713270665961 - supply_from_location, rti_index: 2
1713270665961 - react, rti_index: 8
1713270665961 - consume, rti_index: 9
1713270665961 - sink, rti_index: 10
1713270665961 - supply_from_location, rti_index: 1
1713270665961 - lookup, rti_index: 0
1713270665961 - supply_from_location, rti_index: 1
1713270665961 - supply_from_location, rti_index: 2
1713270665962 - react, rti_index: 3
1713270665962 - consume, rti_index: 4
1713270665962 - supply_from_location, rti_index: 1
1713270665962 - supply_constant, rti_index: 2
1713270665962 - react, rti_index: 7
1713270665962 - consume, rti_index: 8
1713270665962 - sink, rti_index: 9
